title,date,type_of_regulation,sector
BANK INDONESIA REGULATION NO. 13/22/PBI/2011 DATED 30 SEPTEMBER 2011 CONCERNING WITHDRAWAL OF FOREIGN EXCHANGE FROM EXTERNAL DEBT REPORTING OBLIGATION,30 September 2011,Bank Indonesia Regulation,Monetary
"BANK INDONESIA REGULATION NUMBER:13/21/PBI/2011 DATED SEPTEMBER 30, 2011 CONCERNING MONITORING OF BANK ACTIVITY IN  FOREIGN EXCHANGE FLOWS",30 September 2011,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER: 13/20/PBI/2011 CONCERNING RECEIPT OF EXPORT PROCEEDS AND WITHDRAWAL OF FOREIGN EXCHANGE FROM EXTERNAL DEBT,30 September 2011,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NO.13/19/PBI/2011 - CONCERNING THE AMENDMENT TO BANK INDONESIA REGULATION NUMBER 8/12/PBI/2006 CONCERNING THE PERIODIC REPORT OF COMMERCIAL BANK,22 September 2011,Bank Indonesia Regulation,Banking
"BANK INDONESIA CIRCULAR LETTER NO.13/20/DPM DATED AUGUST 8, 2011 CONCERNING SECOND AMENDMENT TO BI CIRCULAR LETTER NO.12/18/DPM DATED JULY 7, 2010 CONCERNING OPEN MARKET OPERATIONS",8 August 2011,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NUMBER : 13/18/PBI/2011 CONCERNING SECOND AMENDMENT OF BANK INDONESIA REGULATION NUMBER 6/28/PBI/2004 CONCERNING ISSUANCE AND CIRCULATION OF THE YEAR 2004 ISSUE OF BANKNOTES IN THE 100.000 (ONE HUNDRED THOUSAND) RUPIAH DENOMINATI,1 August 2011,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATION NUMBER : 13/17/PBI/2011 CONCERNING SECOND AMENDMENT OF BANK INDONESIA REGULATION NUMBER 7/42/PBI/2005 CONCERNING ISSUANCE AND CIRCULATION OF THE YEAR 2005 ISSUE OF BANKNOTES IN THE 50.000 (FIFTY THOUSAND) RUPIAH DENOMINATION,1 August 2011,Bank Indonesia Regulation,Payment System And Rupiah Management
"BANK INDONESIA REGULATION NUMBER : 13/16/PBI/2010 CONCERNING SECOND AMENDMENT OF BANK INDONESIA REGULATION NUMBER 6/29/PBI/2004 CONCERNING ISSUANCE AND CIRCULATION OF THE YEAR 2004 ISSUE OF BANKNOTES IN THE 20,000 (TWENTY THOUSAND) RUPIAH DENOMINATION",1 August 2011,Bank Indonesia Regulation,Payment System And Rupiah Management
"BANK INDONESIA CIRCULAR LETTER NO.13/13/DPM DATED MAY 9, 2011 CONCERNING AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NO.12/18/DPM DATED JULY 7, 2010 CONCERNING OPEN MARKET OPERATION",9 May 2011,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NUMBER: 13/14/PBI/2011 CONCERNING ASSET QUALITY RATING FOR ISLAMIC RURAL BANKS,24 March 2011,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NUMBER: 13/13/PBI/2011 CONCERNING ASSET QUALITY RATING FOR ISLAMIC COMMERCIAL BANKS AND ISLAMIC BUSINESS UNITS,24 March 2011,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO.13/10/PBI/2011 - CONCERNING THE AMENDMENT TO BANK INDONESIA REGULATION NUMBER 19/9/PBI/2010 CONCERNING STATUTORY RESERVE IN RUPIAH AND FOREIGN CURRENCY FOR COMMERCIAL BANKS,9 February 2011,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NUMBER: 13/9/PBI/2011 CONCERNING AMENDMENT TO BANK INDONESIA REGULATION NUMBER 10/18/PBI/2008 CONCERNING RESTRUCTURING OF FINANCING FOR ISLAMIC BANKS AND ISLAMIC BUSINESS UNITS,8 February 2011,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NUMBER 13/8/PBI/2011 DATED FEBRUARY 4, 2011 CONCERNING COMMERCIAL BANK DAILY REPORT",4 February 2011,Bank Indonesia Regulation,Monetary
"BANK INDONESIA CIRCULAR LETTER NUMBER 13/4/DPM DATED FEBRUARY 4, 2011 CONCERNING COMMERCIAL BANK DAILY REPORT FEE",4 February 2011,Bank Indonesia Circular Letters,Monetary
"BANK INDONESIA CIRCULAR LETTER NUMBER 13/3/DPM DATED FEBRUARY 4, 2011 CONCERNING COMMERCIAL BANK DAILY REPORT",4 February 2011,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NUMBER: 13/5/PBI/2011 CONCERNING LEGAL LENDING LIMIT FOR ISLAMIC RURAL BANKS,24 January 2011,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NUMBER 13/4/PBI/2011 CONCERNING REVOCATION OF BANK INDONESIA REGULATION NUMBER 10/22/PBI/2008 CONCERNING MEETING OF NEED OF FOREIGN EXCHANGE FOR DOMESTIC CORPORATION THROUGH BANK,21 January 2011,Bank Indonesia Regulation,Monetary
"BANK INDONESIA REGULATION NUMBER : 12/26/PBI/2010 CONCERNING THIRD AMENDMENT OF BANK INDONESIA REGULATION NUMBER 7/40/PBI/2005 CONCERNING ISSUANCE AND CIRCULATION OF THE YEAR 2005 ISSUE OF BANKNOTES IN THE 10,000 (TEN THOUSAND) RUPIAH DENOMINATION",30 December 2010,Bank Indonesia Regulation,Payment System And Rupiah Management
"BANK INDONESIA REGULATION NUMBER : 12/25/PBI/2010 CONCERNING AMENDMENT OF BANK INDONESIA REGULATION NUMBER 11/21/PBI/2009 CONCERNING ISSUANCE AND CIRCULATION OF THE YEAR 2009 ISSUE OF BANKNOTES IN THE 2,000 (TWO THOUSAND) RUPIAH DENOMINATION",30 December 2010,Bank Indonesia Regulation,Payment System And Rupiah Management
CIRCULLAR LETTER NO.12/35/DPNP- RISK MANAGEMENT IN MARKETING COOPERATION BETWEEN COMMERCIAL BANKS AND INSURANCE COMPANY (BANCASSURANCE),23 December 2010,Bank Indonesia Circular Letters,Banking
BANK INDONESIA REGULATION NO.12/22/PBI/2010 CONCERNING MONEY CHANGER,22 December 2010,Bank Indonesia Regulation,Monetary
CIRCULLAR LETTER NO.12/27/DPNP - COMMERCIAL BANKS BUSINESS PLAN,25 October 2010,Bank Indonesia Circular Letters,Banking
BANK INDONESIA REGULATION NO.12/21/PBI/2011 - CONCERNING BANK BUSINESS PLAN,19 October 2010,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO.12/19/PBI/2010 - STATUTORY RESERVES IN RUPIAH AND FOREIGN CURRENCY FOR COMMERCIAL BANKS,4 October 2010,Bank Indonesia Regulation,Banking
"BANK INDONESIA CIRCULAR LETTER NUMBER 12/25/DPM DATED AUGUST 30, 2010 CONCERNING THE SECOND AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 10/16/DPM DATED MARCH 31, 2008 CONCERNING PROCEDURES FOR THE ISSUANCE OF BANK INDONESIA SHARIA CERTIFICATES THRO",30 August 2010,Bank Indonesia Circular Letters,Monetary
"BANK INDONESIA CIRCULAR LETTER NUMBER 12/23/DPM DATED AUGUST 30, 2010 CONCERNING AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 11/8/DPM DATED MARCH 27, 2009 CONCERNING PROCEDURES FOR TRANSACTION ON BANK INDONESIA DEPOSIT FACILITIES FOR SHARIA BANKING",30 August 2010,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NUMBER: 12/18/PBI/2010 CONCERNING AMENDMENT TO BANK INDONESIA REGULATION NUMBER: 10/11/PBI/2008 CONCERNING BANK INDONESIA SHARIA CERTIFICATE,30 August 2010,Bank Indonesia Regulation,Monetary
"BANK INDONESIA CIRCULAR LETTER NUMBER 12/26/DPM DATED AUGUST 30, 2010 CONCERNING AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 10/17/DPM DATED MARCH 31, 2008 CONCERNING PROCEDURES FOR BANK INDONESIA SHARIA CERTIFICATE REPO TRANSACTION WITH BANK INDON",30 August 2010,Bank Indonesia Circular Letters,Monetary
"BANK INDONESIA CIRCULAR LETTER NUMBER 12/24/DPM DATED AUGUST 30, 2010 CONCERNING AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 10/44/DPM DATED DECEMBER 10, 2008 CONCERNING PROCEDURES FOR SOVEREIGN SYARIAH SECURITIES (SBSN) REPURCHASE AGREEMENT (REPO)",30 August 2010,Bank Indonesia Circular Letters,Monetary
"BANK INDONESIA REGULATION NUMBER 12/17/PBI/2010 DATED AUGUST 30, 2010 CONCERNING AMENDMENT TO BANK INDONESIA REGULATION NUMBER 10/36/PBI/2008 CONCERNING SHARIA MONETARY OPERATIONS",30 August 2010,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER: 12/16/PBI/2010 CONCERNING MONITORING SYSTEM FOR TRANSACTIONS ON FOREIGN CURRENCIES AGAINST RUPIAH,30 August 2010,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER : 12/14/PBI/2010 CONCERNING REVOCATION AND WITHDRAWAL FROM CIRCULATION OF THE YEAR 1991 ISSUE OF COINS IN THE RP 25 (TWENTY FIVE) DENOMINATION,13 August 2010,Bank Indonesia Regulation,Payment System And Rupiah Management
"BANK INDONESIA CIRCULAR LETTER NUMBER 12/22/DPM CONCERNING AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 12/12/DPD DATED APRIL 8, 2010 CONCERNING REPURCHASE AGREEMENT TRANSACTION ON CHINESE YUAN AGAINST RUPIAH SECURITIES OF A BANK TO BANK INDONESIA",2 August 2010,Bank Indonesia Circular Letters,Monetary
"BANK INDONESIA CIRCULAR LETTER NUMBER 12/21/DPM – AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 7/45/DPD DATED SEPTEMBER 15, 2005 CONCERNING DERIVATIVE TRANSACTION",2 August 2010,Bank Indonesia Circular Letters,Monetary
"BANK INDONESIA CIRCULAR LETTER NUMBER 12/20/DPM CONCERNING AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 5/29/DPD DATED NOVEMBER 18, 2003 CONCERNING BROKERAGE COMPANY OF RUPIAH AND FOREIGN EXCHANGE MONEY MARKET",2 August 2010,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA CIRCULAR LETTER NO. 12/ 18 /DPM CONCERNING OPEN MARKET OPERATION,7 July 2010,Bank Indonesia Circular Letters,Monetary
"BANK INDONESIA CIRCULAR LETTER NUMBER 12/ 17 /DPM DATED JULY 6, 2010 CONCERNING STANDING FACILITIES",6 July 2010,Bank Indonesia Circular Letters,Monetary
"BANK INDONESIA CIRCULAR LETTER NO. 12/ 16 / DPM CONCERNING CRITERIA AND REQUIREMENTS FOR SECURITIES, PARTICIPANT, AND INTERMEDIARY IN MONETARY OPERATION",6 July 2010,Bank Indonesia Circular Letters,Monetary
"BANK INDONESIA REGULATION NUMBER 12/ 11 /PBI DATED JULY 2, 2010 CONCERNING MONETARY OPERATIONS",2 July 2010,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER: 12/10/PBI/2010 CONCERNING THE THIRD AMENDMENT TO BANK INDONESIA REGULATION NUMBER 5/13/PBI/2003 CONCERNING THE NET OPEN POSITION FOR COMMERCIAL BANKS,1 July 2010,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NUMBER: 12/8/PBI/2010 CONCERNING SECOND AMENDMENT OF BANK INDONESIA REGULATION NUMBER 7/40/PBI/2005 CONCERNING ISSUANCE AND CIRCULATION OF THE YEAR 2005 ISSUE OF BANKNOTES IN THE 10,000 (TEN THOUSAND) RUPIAH DENOMINATION",3 June 2010,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA CIRCULAR LETTER NUMBER 12/12/DPD CONCERNING REPURCHASE AGREEMENT TRANSACTION ON CHINESE YUAN AGAINST RUPIAH SECURITIES OF A BANK TO BANK INDONESIA,8 April 2010,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NUMBER: 12/6/PBI/2010 CONCERNING REPURCHASE AGREEMENT TRANSACTION ON CHINESE YUAN AGAINST RUPIAH SECURITIES OF A BANK TO BANK INDONESIA,7 April 2010,Bank Indonesia Regulation,Monetary
CIRCULLAR LETTER NO.12/11/DPNP - SECOND AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 3/30/DPNP DATED 14 DECEMBER 2001 CONCERNING COMMERCIAL BANK QUARTERLY AND MONTHLY PUBLISHED FINANCIAL REPORTS AND CERTAIN REPORTS SUBMITTED TO BANK INDONESIA,31 March 2010,Bank Indonesia Circular Letters,Banking
CIRCULAR LETTER NO.12/10/DPM CONCERNING THE STANDARD GUIDELINES ON THE IMPLEMENTATION OF ANTI-MONEY LAUNDERING AND COUNTER-TERRORISM FINANCING TERRORISM PROGRAM FOR NON-BANK MONEY CHANGER,30 March 2010,Bank Indonesia Circular Letters,Monetary
"BANK INDONESIA REGULATION NUMBER: 12/4/PBI/2010 CONCERNING ISSUANCE AND CIRCULATION OF THE YEAR 2010 ISSUE OF COIN IN THE 1,000 (ONE THOUSAND) RUPIAH DENOMINATION",1 March 2010,Bank Indonesia Regulation,Payment System And Rupiah Management
REGULATION OF BANK INDONESIA NO.12/ 3 /PBI/2010 - APPLICATION OF ANTI-MONEY LAUNDERING AND PREVENTION OF TERRORISM FINANCING FOR NON-BANK FOREIGN EXCHANGE TRADERS,1 March 2010,Bank Indonesia Regulation,Monetary
"BANK INDONESIA CIRCULAR LETTER NO.12/ 2 /DPM - AMENDMENT TO CIRCULAR LETTER OF BANK INDONESIA NUMBER 11/6/DPM DATED FEBRUARY 10, 2009 CONCERNING THE PROCEDURES FOR THE ADMINISTRATION OF RETAIL STATE SHARIA SECURITIES",22 January 2010,Bank Indonesia Circular Letters,Monetary
CIRCULLAR LETTER NO.11/35/DPNP - REPORTING OF NEW PRODUCT OR ACTIVITY,31 December 2009,Bank Indonesia Circular Letters,Banking
CIRCULLAR LETTER NO.11/36/DPNP - AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 7/19/DPNP DATED 14 JUNE 2005 CONCERNING IMPLEMENTATION OF RISK MANAGEMENT AT BANKS THAT CONDUCT ACTIVITIES RELATED TO MUTUAL FUNDS,31 December 2009,Bank Indonesia Circular Letters,Banking
CIRCULLAR LETTER NO.11/33/DPNP - AMENDMENT TO CIRCULAR LETTER NUMBER 11/4/DPNP DATED 27 JANUARY 2009 CONCERNING IMPLEMENTATION OF INDONESIAN BANKING ACCOUNTING GUIDELINE,8 December 2009,Bank Indonesia Circular Letters,Banking
BANK INDONESIA REGULATION NUMBER 11/33/PBI/2009 CONCERNING THE IMPLEMENTATION OF GOOD CORPORATE GOVERNANCE BY ISLAMIC COMMERCIAL BANKS AND ISLAMIC BUSINESS UNITS,7 December 2009,Bank Indonesia Regulation,Banking
BANK INDONESIA CIRCULAR LETTER NUMBER 11/ 32 /DPM - PROCEDURES FOR AUCTION FOR STATE NOTES IN THE PRIMARY MARKET AND ADMINISTRATION OF STATE NOTES,7 December 2009,Bank Indonesia Circular Letters,Monetary
CIRCULLAR LETTER NO. 11/31/DPNP - STANDARD GUIDELINES FOR IMPLEMENTATION ANTI MONEY LAUNDERING AND COMBATING THE FINANCING OF TERRORISM PROGRAM FOR COMMERCIAL BANKS,30 November 2009,Bank Indonesia Circular Letters,Banking
CIRCULLAR LETTER NO.11/29/DPNP - CALCULATION OF SECONDARY STATUTORY RESERVE IN RUPIAH,16 October 2009,Bank Indonesia Circular Letters,Banking
"BANK INDONESIA CIRCULAR LETTER NUMBER 11/23/DPM - AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 10/21/DPM DATED MAY 23, 2008 CONCERNING THE ORGANIZATION OF BANK INDONESIA - SCRIPLESS SECURITIES SETTLEMENT SYSTEM",25 August 2009,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER OF BANK INDONESIA NO.11/ 22/DPM - PROCEDURE OF AUCTION AND ADMINISTRATION OF STATE SHARIA SECURITIES,12 August 2009,Bank Indonesia Circular Letters,Monetary
"CIRCULAR LETTER OF BANK INDONESIA NUMBER 11/20/DPM - AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 7/21/DPM DATED JULY 1, 2005 CONCERNING PROCEDURES FOR SAFE DEPOSIT OF SECURITIES, IMPORTANT DOCUMENTS AND VALUABLES AT BANK INDONESIA",4 August 2009,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER OF BANK INDONESIA NO.11/17/DPM - THE PROCEDURE FOR THE PROVISION OF INTRADAY LIQUIDITY FACILITY BASED ON SHARIA PRINCIPLES (FLIS),7 July 2009,Bank Indonesia Circular Letters,Monetary
REGULATION OF BANK INDONESIA NUMBER 11/ 30 /PBI - INTRADAY LIQUIDITY FACILITY BASED ON SHARIA,7 July 2009,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NO.11/27/PBI/2009 - CONCERNING THE AMENDMENT TO BANK INDONESIA REGULATION NUMBER 8/10/PBI/2006 CONCERNING SPECIAL TREATMENT FOR BANK LOAN FOLLOWING THE NATURAL DISASTER IN YOGYAKARTA AND NEARBY AREAS IN CENTRAL JAVA PROVINCE,1 July 2009,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION  NUMBER: 11/23/PBI/2009 CONCERNING ISLAMIC RURAL BANKS,1 July 2009,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NUMBER 11/28/PBI/2009 - IMPLEMENTATION OF ANTI MONEY LAUNDERING AND COMBANTING THE FINANCING OF TERRORISM PROGRAM FOR COMMERCIAL BANK,1 July 2009,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NUMBER: 11/22/PBI/2009 CONCERNING ISSUANCE AND CIRCULATION OF THE YEAR 2009 ISSUE OF COMMEMORATIVE CURRENCY AS UNCUT NOTES IN THE 2,000 (TWO THOUSAND) RUPIAH DENOMINATION",24 June 2009,Bank Indonesia Regulation,Payment System And Rupiah Management
"BANK INDONESIA REGULATION NUMBER: 11/21/PBI/2009 CONCERNING ISSUANCE AND CIRCULATION OF THE YEAR 2009 ISSUE OF BANKNOTES IN THE 2,000 (TWO THOUSAND) RUPIAH DENOMINATION",24 June 2009,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATION NO. 11/18/PBI/2009 - THE AMENDMENT TO BANK INDONESIA REGULATION NUMBER 10/40/PBI/2008 ON COMMERCIAL BANK MONTHLY REPORT,3 June 2009,Bank Indonesia Regulation,Monetary
"CIRCULAR LETTER OF BANK INDONESIA NUMBER 11/ 14 /DPM - AMENDMENT TO CIRCULAR LETTER OF BANK INDONESIA NUMBER 10/29/DPM DATED SEPTEMBER 2, 2008 REGARDING THE PROCEDURES FOR THE SUBMISSION OF APPLICATION, REPORTING, AND SUPERVISION OF SUB-REGISTRY",18 May 2009,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NO. 11/17/PBI/2009 - REVISION ON REGULATION OF BANK INDONESIA NUMBER 2/22/PBI/2000 CONCERNING THE EXTERNAL DEBT REPORTING OBLIGATION,5 May 2009,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER: 11/16/PBI/2009 CONCERNING AMENDMENT OF BANK INDONESIA REGULATION NUMBER 2/25/PBI/2000 CONCERNING ISSUANCE AND CIRCULATION OF THE YEAR 2000 ISSUE OF BANKNOTES IN THE 1000 (ONE THOUSAND) RUPIAH DENOMINATION,29 April 2009,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATION NUMBER: 11/15/PBI/2009 - CONVERSION OF BUSINESS ACTIVITIES FROM COMMERCIAL BANK TO SHARIA BANK,29 April 2009,Bank Indonesia Regulation,Banking
CIRCULAR LETTER OF BANK INDONESIA NUMBER 11/11/DASP CONCERNING ELECTRONIC MONEY,13 April 2009,Bank Indonesia Circular Letters,Payment System And Rupiah Management
BANK INDONESIA REGULATION NUMBER 11/11/PBI/2009 CONCERNING MANAGEMENT OF CARD-BASED PAYMENT INSTRUMENT ACTIVITIES,13 April 2009,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATION NUMBER 11/12/PBI/2009 CONCERNING ELECTRONIC MONEY,13 April 2009,Bank Indonesia Regulation,Payment System And Rupiah Management
CIRCULAR LETTER OF BANK INDONESIA NO. 11/10/DASP CONCERNING MANAGEMENT OF CARD-BASED PAYMENT INSTRUMENT ACTIVITIES,13 April 2009,Bank Indonesia Circular Letters,Payment System And Rupiah Management
CIRCULAR LETTER NO. 11/ 8 /DPM - PROCEDURES FOR BANK INDONESIA SYARIAH’S DEPOSIT FACILITY (FASBIS) TRANSACTIONS,27 March 2009,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NUMBER: 11/10/PBI/2009 - SHARIA BUSINESS UNITS,19 March 2009,Bank Indonesia Regulation,Banking
"CIRCULAR LETTER NO. 11/7/DPM - AMENDMENT TO CIRCULAR LETTER NO. 9/23/DPM REGARDING PERMIT PROCEDURES, APPLICATION OF KNOW-YOUR-CUSTOMER PRINCIPLE, SUPERVISION, REPORTING AND IMPOSITION OF SANCTIONS ON NON-BANK FOREIGN EXCHANGE TRADERS",13 March 2009,Bank Indonesia Circular Letters,Monetary
"BANK INDONESIA REGULATION NUMBER : 11/5/PBI/2009 CONCERNING AMANDMENT OF BANK INDONESIA REGULATION NUMBER 3/19/PBI/2001 CONCERNING ISSUANCE AND CIRCULATION OF THE YEAR 2001 BANKNOTES IN THE 5,000 (FIVE THOUSAND) DENOMINATION",3 March 2009,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATION NUMBER: 11/9/PBI/2009 CONCERNING AMENDMENT OF BANK INDONESIA REGULATION NUMBER 6/28/PBI/2004 CONCERNING ISSUANCE AND CIRCULATION OF THE YEAR 2004 ISSUE OF BANKNOTES IN THE 100.000 (ONE HUNDRED THOUSAND) RUPIAH DENOMINATION,3 March 2009,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATION NUMBER : 11/8/PBI/2009 CONCERNING AMENDMENT OF BANK INDONESIA REGULATION NUMBER 7/42/PBI/2005 CONCERNING ISSUANCE AND CIRCULATION OF THE YEAR 2005 ISSUE OF BANKNOTES IN THE 50.000 (FIFTY) THOUSAND RUPIAH DENOMINATION,3 March 2009,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATION NUMBER : 11/7/PBI/2009 CONCERNING AMENDMENT OF BANK INDONESIA REGULATION NUMBER 6/29/PBI/2004 CONCERNING ISSUANCE AND CIRCULATION  OF THE YEAR 2004 ISSUE OF BANKNOTES IN THE 20.000 (TWENTY THOUSAND) RUPIAH DENOMINATION,3 March 2009,Bank Indonesia Regulation,Payment System And Rupiah Management
"BANK INDONESIA REGULATION NUMBER : 11/ 6 /PBI/2009 CONCERNING AMENDMENT OF BANK INDONESIA REGULATION  NUMBER 7/40/PBI/2005 CONCERNING ISSUANCE AND CIRCULATION  OF THE YEAR 2005 ISSUE OF BANKNOTES IN THE 10,000 (TEN THOUSAND) RUPIAH DENOMINATION",3 March 2009,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA CIRCULAR LETTER NUMBER 11/6/DPM - ADMINISTRATION PROCEDURES OF RETAIL GOVERNMENT SHARIA SECURITIES,10 February 2009,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NUMBER: 11/3/PBI/2009 - SHARIA COMMERCIAL BANK,29 January 2009,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO.11/2/PBI/2009 - CONCERNING THE THIRD AMENDMENT OF BANK INDONESIA REGULATION NO.7/2/ PBI/2005 CONCERNING ASSET QUALITY RATING FOR COMMERCIAL BANKS,29 January 2009,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO.11/1/PBI/2009 - COMMERCIAL BANK,27 January 2009,Bank Indonesia Regulation,Banking
CIRCULAR LETTER NUMBER 11/2/DSM - MONTHLY REPORTS OF COMMERCIAL,22 January 2009,Bank Indonesia Circular Letters,Monetary
"BANK INDONESIA REGULATION NO.10/39/PBI/2008 - CONCERNING SPECIAL TREATMENT ON BANKING ISSUES FOLLOWING THE NATIONAL DISASTER IN NANGGROE ACEH DARUSSALAM PROVINCE AND NIAS REGENCY, NORTH SUMATRA PROVINCE",24 December 2008,Bank Indonesia Regulation,Banking
CIRCULAR LETTER NUMBER 10/48/DPD - TRANSACTION OF FOREIGN EXCHANGE AGAINST RUPIAH,24 December 2008,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NO. 10/40/PBI/2008 - COMMERCIAL BANK MONTHLY REPORT,24 December 2008,Bank Indonesia Regulation,Monetary
CIRCULAR LETTER NUMBER 10/46/DINT - OFFSHORE LOAN OF NON BANK CORPORATIONS,22 December 2008,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA CIRCULAR LETTER NUMBER 10/44/DPM - PROCEDURES OF REPURCHASE AGREEMENT (REPO) TRANSACTIONS OF GOVERNMENT SHARIA SECURITIES (SBSN) WITH BANK INDONESIA,10 December 2008,Bank Indonesia Circular Letters,Monetary
"BANK INDONESIA CIRCULAR LETTER NUMBER 10/43/DPM - SECOND AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 10/2/DPM DATED JANUARY 31, 2008, CONCERNING REPURCHASE AGREEMENT TRANSACTIONS WITH BANK INDONESIA IN SECONDARY MARKET",9 December 2008,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NUMBER 10/36/PBI/2008 - SHARIA MONETARY OPERATIONS,8 December 2008,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NO. 10/34/PBI/2008 - PURCHASE TRANSACTION OF EXPORT USANCE BILLS OF EXCHANGE,5 December 2008,Bank Indonesia Regulation,Monetary
CIRCULAR LETTER NUMBER 10/42/DPD - BUYING FOREIGN EXCHANGE AGAINST RUPIAH TO BANK,27 November 2008,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA CIRCULAR LETTER NUMBER 10/41/DPM - CHANGE OF NAME OF GOVERNMENT ACCOUNT NUMBER 500.000003 AND NUMBER 502.000001,27 November 2008,Bank Indonesia Circular Letters,Monetary
"BANK INDONESIA REGULATION NUMBER : 10/33/PBI/2008 CONCERNING REVOCATION AND WITHDRAWAL FROM CIRCULATION OF THE YEAR 1998 ISSUE OF BANKNOTES IN THE 10,000 (TEN THOUSAND) RUPIAH DENOMINATION, THE YEAR 1998 ISSUE OF BANKNOTES IN THE 20,000 (TWENTY THOUSAND)",25 November 2008,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATION NO.10/32/PBI/2008 - SHARIA BANKING COMMITTEE,20 November 2008,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO.10/31/PBI/2008 - CONCERNING EMERGENCY LIQUIDITY ASSISTANCE FOR COMMERCIAL BANKS,18 November 2008,Bank Indonesia Regulation,Banking
"CIRCULAR LETTER NUMBER 10/40/DPM - AMENDMENT TO CIRCULAR LETTER NUMBER 10/16/DPM DATED MARCH 31, 2008, CONCERNING PROCEDURES OF THE ISSUANCE OF BANK INDONESIA SHARIA CERTIFICATE THROUGH AUCTION",17 November 2008,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER OF BANK INDONESIA NUMBER 10/38/DPM - THE INTRADAY LIQUIDITY FACILITY FOR COMMERCIAL BANKS,14 November 2008,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION (PBI) NUMBER 10/29/BI/2008 - INTRADAY LIQUIDITY FACILITY FOR COMMERCIAL BANK,14 November 2008,Bank Indonesia Regulation,Monetary
